source,target
14521,24237
38505,32025
40297,29446
11567,6687
6239,29446
6540,24447
35739,37785
34737,24237
12897,5297
29221,32025
12582,29446
24447,37486
13740,24237
30504,29446
1956,4545
34121,33161
15290,28462
38682,29446
40911,36332
9601,29446
10344,29446
7283,33138
23321,12623
19279,24237
34664,17821
262,29446
31434,4545
38300,29446
14812,29446
3019,24237
25654,25654
1360,29446
10516,1158
13685,24402
16608,17772
41120,29446
36578,29446
28371,26648
4770,3555
21904,29446
33206,29446
27315,10819
28620,29446
32530,385
40458,24523
15939,32025
30584,24237
33811,29446
34732,39751
16690,17056
17894,10617
39928,6022
35637,11446
26006,7817
28973,29446
28251,29446
29031,29446
39426,33161
31765,19313
7457,29446
10764,24237
1445,29446
6296,34075
29581,24447
1441,29446
17104,25441
38306,29446
25375,29694
29532,29446
37043,26743
39494,29446
5090,19932
24426,7373
30262,24237
12343,2266
29239,24237
4545,24860
40880,484
28131,28578
27073,27073
35378,29446
35828,1485
33837,24237
16825,18473
24447,3300
13591,24237
5465,29446
24447,1340
1524,36664
34427,4545
9804,12266
40959,24237
58,41583
10185,15793
26981,4545
22030,22431
27087,24237
22931,29446
4490,29446
15049,16605
2390,29446
17796,29446
18772,11838
25397,29446
4545,19289
22223,29446
22057,32025
9252,25665
1017,29446
35400,29446
16964,24447
36284,32025
30702,29446
29462,29446
7943,29446
6075,37785
6798,23945
37084,29446
5420,36813
2942,7470
6593,24303
5421,29446
27049,33161
24821,29446
19663,4545
36328,29446
18964,29446
35036,29446
20322,29446
18154,16869
5671,24237
27557,33161
26434,26434
16984,29446
18390,31881
14770,24237
30392,30392
9202,4545
19236,29446
30058,29446
1215,29446
17860,33161
5168,26849
7366,30197
15281,8272
39102,29446
41228,29446
10980,24237
18556,24447
40772,30519
9824,15748
33932,1830
4383,37201
36735,29446
14075,29446
33807,24237
27907,29446
40534,29446
8407,522
30866,29446
20627,29446
25364,32025
825,29446
27924,29446
11917,38206
33459,25678
32362,24237
27608,35525
16578,2258
2310,3161
14038,29446
920,29446
20248,20248
